tool,format,image,quality,bytes,score,min_ms,median_ms,mad_ms,peak_rss_kib,refined,valid
sharp,avif,alpha_logo.png,66,4013,90.32281968,,,,,1,1
sharp,webp,photo_lowlight.png,40,144422,49.03089127,,,,,0,1
sharp,webp,photo_lowlight.png,45,159346,52.00312055,,,,,0,1
sharp,webp,photo_lowlight.png,50,168624,54.72740916,,,,,0,1
sharp,webp,photo_lowlight.png,55,183274,57.02052731,,,,,0,1
sharp,webp,photo_lowlight.png,60,194030,58.58022527,,,,,0,1
sharp,webp,photo_lowlight.png,65,204644,60.85758959,,,,,0,1
sharp,webp,photo_lowlight.png,70,220642,63.13667796,,,,,0,1
sharp,webp,photo_lowlight.png,75,234204,64.4073837,,,,,0,1
sharp,webp,photo_lowlight.png,80,290908,69.84251742,,,,,0,1
sharp,webp,photo_lowlight.png,85,360360,75.17666216,,,,,0,1
sharp,webp,photo_lowlight.png,90,472548,79.01794096,,,,,0,1
sharp,webp,photo_lowlight.png,95,709950,82.79181375,,,,,0,1
sharp,webp,photo_lowlight.png,100,955774,84.08209505,,,,,0,1
sharp,webp,photo_lowlight.png,92,550944,81.06849271,,,,,1,1
sharp,webp,photo_lowlight.png,91,514946,80.41556396,,,,,1,1
sharp,jpeg,alpha_logo.png,40,6783,-799.17562823,,,,,0,0
sharp,jpeg,alpha_logo.png,45,7271,-801.69735124,,,,,0,0
sharp,jpeg,alpha_logo.png,50,7723,-801.82688505,,,,,0,0
sharp,jpeg,alpha_logo.png,55,8158,-798.3142429,,,,,0,0
sharp,jpeg,alpha_logo.png,60,8606,-797.97604099,,,,,0,0
sharp,jpeg,alpha_logo.png,65,9259,-799.45214183,,,,,0,0
sharp,jpeg,alpha_logo.png,70,10018,-792.88627101,,,,,0,0
sharp,jpeg,alpha_logo.png,75,10851,-799.023177,,,,,0,0
sharp,jpeg,alpha_logo.png,80,12187,-798.50712659,,,,,0,0
sharp,jpeg,alpha_logo.png,85,13849,-798.37169445,,,,,0,0
sharp,jpeg,alpha_logo.png,90,16816,-797.9809983,,,,,0,0
sharp,jpeg,alpha_logo.png,95,23431,-798.26857746,,,,,0,0
sharp,jpeg,alpha_logo.png,100,47652,-797.69286079,,,,,0,0
sharp,webp,photo_portrait.png,40,79752,51.66237741,,,,,0,1
sharp,webp,photo_portrait.png,45,87334,53.91489325,,,,,0,1
sharp,webp,photo_portrait.png,50,94544,56.54197751,,,,,0,1
sharp,webp,photo_portrait.png,55,102208,58.55651535,,,,,0,1
sharp,webp,photo_portrait.png,60,110318,60.02989774,,,,,0,1
sharp,webp,photo_portrait.png,65,117128,62.00175762,,,,,0,1
sharp,webp,photo_portrait.png,70,128676,63.98470681,,,,,0,1
sharp,webp,photo_portrait.png,75,138562,65.63568024,,,,,0,1
sharp,webp,photo_portrait.png,80,180194,70.6042139,,,,,0,1
sharp,webp,photo_portrait.png,85,237168,75.49554444,,,,,0,1
sharp,webp,photo_portrait.png,90,360640,80.78213763,,,,,0,1
sharp,webp,photo_portrait.png,95,609316,84.98448149,,,,,0,1
sharp,webp,photo_portrait.png,100,905308,87.40856283,,,,,0,1
sharp,webp,photo_portrait.png,88,298336,78.78918717,,,,,1,1
sharp,webp,photo_portrait.png,89,325386,79.90379948,,,,,1,1
sharp,jpeg,photo_exif.jpg,40,375838,61.1354367,,,,,0,1
sharp,jpeg,photo_exif.jpg,45,407471,64.47431935,,,,,0,1
sharp,jpeg,photo_exif.jpg,50,429413,67.02338986,,,,,0,1
sharp,jpeg,photo_exif.jpg,55,459938,68.9403144,,,,,0,1
sharp,jpeg,photo_exif.jpg,60,501488,70.66108101,,,,,0,1
sharp,jpeg,photo_exif.jpg,65,534506,73.03935026,,,,,0,1
sharp,jpeg,photo_exif.jpg,70,588627,75.80551839,,,,,0,1
sharp,jpeg,photo_exif.jpg,75,650655,78.17625913,,,,,0,1
sharp,jpeg,photo_exif.jpg,80,751548,81.12310289,,,,,0,1
sharp,jpeg,photo_exif.jpg,85,906695,83.79436199,,,,,0,1
sharp,jpeg,photo_exif.jpg,90,1115721,89.47545245,,,,,0,1
sharp,jpeg,photo_exif.jpg,95,1355462,92.50476245,,,,,0,1
sharp,jpeg,photo_exif.jpg,100,1932763,93.92818805,,,,,0,1
sharp,jpeg,photo_exif.jpg,78,705440,80.02015257,,,,,1,1
sharp,jpeg,photo_exif.jpg,76,659081,79.22472413,,,,,1,1
sharp,jpeg,photo_exif.jpg,77,686819,79.89997516,,,,,1,1
sharp,jpeg,photo_exif.jpg,92,1171796,91.66975521,,,,,1,1
sharp,jpeg,photo_exif.jpg,91,1148307,90.91719613,,,,,1,1
sharp,jpeg,photo_foliage.png,40,71589,56.40959809,,,,,0,1
sharp,jpeg,photo_foliage.png,45,77421,58.26814421,,,,,0,1
sharp,jpeg,photo_foliage.png,50,82524,63.4113356,,,,,0,1
sharp,jpeg,photo_foliage.png,55,87987,65.16723968,,,,,0,1
sharp,jpeg,photo_foliage.png,60,94294,66.99867325,,,,,0,1
sharp,jpeg,photo_foliage.png,65,104028,69.23392476,,,,,0,1
sharp,jpeg,photo_foliage.png,70,115850,71.96342784,,,,,0,1
sharp,jpeg,photo_foliage.png,75,131577,77.3378234,,,,,0,1
sharp,jpeg,photo_foliage.png,80,159674,79.57374949,,,,,0,1
sharp,jpeg,photo_foliage.png,85,200828,82.91279651,,,,,0,1
sharp,jpeg,photo_foliage.png,90,278763,86.80898575,,,,,0,1
sharp,jpeg,photo_foliage.png,95,456607,89.94579929,,,,,0,1
sharp,jpeg,photo_foliage.png,100,1066641,92.47704119,,,,,0,1
sharp,jpeg,photo_foliage.png,82,173371,80.86303286,,,,,1,1
sharp,jpeg,photo_foliage.png,81,166938,79.97359947,,,,,1,1
sharp,jpeg,photo_foliage.png,98,694524,91.64044273,,,,,1,1
sharp,jpeg,photo_foliage.png,96,522155,90.70272779,,,,,1,1
sharp,jpeg,photo_lowlight.png,40,186801,50.95083041,,,,,0,1
sharp,jpeg,photo_lowlight.png,45,203664,54.54002442,,,,,0,1
sharp,jpeg,photo_lowlight.png,50,218761,58.0183164,,,,,0,1
sharp,jpeg,photo_lowlight.png,55,234363,60.32631248,,,,,0,1
sharp,jpeg,photo_lowlight.png,60,253279,61.69655294,,,,,0,1
sharp,jpeg,photo_lowlight.png,65,276812,64.91976415,,,,,0,1
sharp,jpeg,photo_lowlight.png,70,305117,67.31941268,,,,,0,1
sharp,jpeg,photo_lowlight.png,75,338214,70.85119218,,,,,0,1
sharp,jpeg,photo_lowlight.png,80,389447,73.85723932,,,,,0,1
sharp,jpeg,photo_lowlight.png,85,461268,77.17859662,,,,,0,1
sharp,jpeg,photo_lowlight.png,90,589016,81.38174489,,,,,0,1
sharp,jpeg,photo_lowlight.png,95,862313,84.71403582,,,,,0,1
sharp,jpeg,photo_lowlight.png,100,1742173,86.14804714,,,,,0,1
sharp,jpeg,photo_lowlight.png,88,530721,79.35807109,,,,,1,1
sharp,jpeg,photo_lowlight.png,89,551340,80.02248541,,,,,1,1
sharp,jpeg,photo_portrait.png,40,151859,60.26178026,,,,,0,1
sharp,jpeg,photo_portrait.png,45,166537,62.85907716,,,,,0,1
sharp,jpeg,photo_portrait.png,50,178959,65.69275447,,,,,0,1
sharp,jpeg,photo_portrait.png,55,191685,67.5586045,,,,,0,1
sharp,jpeg,photo_portrait.png,60,208052,68.88581052,,,,,0,1
sharp,jpeg,photo_portrait.png,65,229305,71.38465812,,,,,0,1
sharp,jpeg,photo_portrait.png,70,254916,73.27578342,,,,,0,1
sharp,jpeg,photo_portrait.png,75,284971,76.41432176,,,,,0,1
sharp,jpeg,photo_portrait.png,80,334470,79.12408835,,,,,0,1
sharp,jpeg,photo_portrait.png,85,407473,82.23729879,,,,,0,1
sharp,jpeg,photo_portrait.png,90,548409,85.72774963,,,,,0,1
sharp,jpeg,photo_portrait.png,95,868377,89.28871987,,,,,0,1
sharp,jpeg,photo_portrait.png,100,1937443,92.49970246,,,,,0,1
sharp,jpeg,photo_portrait.png,82,359394,80.32466576,,,,,1,1
sharp,jpeg,photo_portrait.png,81,348285,79.71576723,,,,,1,1
sharp,jpeg,photo_portrait.png,98,1315656,91.47530458,,,,,1,1
sharp,jpeg,photo_portrait.png,96,992315,90.16798056,,,,,1,1
sharp,jpeg,photo_sky.png,40,25765,56.07855907,,,,,0,1
sharp,jpeg,photo_sky.png,45,29657,60.85572623,,,,,0,1
sharp,jpeg,photo_sky.png,50,33665,64.76395992,,,,,0,1
sharp,jpeg,photo_sky.png,55,38569,66.84589338,,,,,0,1
sharp,jpeg,photo_sky.png,60,46220,67.98409071,,,,,0,1
sharp,jpeg,photo_sky.png,65,57507,72.03330893,,,,,0,1
sharp,jpeg,photo_sky.png,70,72667,73.6940552,,,,,0,1
sharp,jpeg,photo_sky.png,75,89401,78.51040406,,,,,0,1
sharp,jpeg,photo_sky.png,80,119321,81.57409742,,,,,0,1
sharp,jpeg,photo_sky.png,85,162746,84.19989451,,,,,0,1
sharp,jpeg,photo_sky.png,90,243755,87.17171211,,,,,0,1
sharp,jpeg,photo_sky.png,95,414662,89.14009721,,,,,0,1
sharp,jpeg,photo_sky.png,100,939641,90.4464726,,,,,0,1
sharp,jpeg,photo_sky.png,78,109803,80.39824507,,,,,1,1
sharp,jpeg,photo_sky.png,76,93686,79.77563506,,,,,1,1
sharp,jpeg,photo_sky.png,77,101674,80.24450746,,,,,1,1
sharp,jpeg,photo_sky.png,98,619965,90.01498568,,,,,1,1
sharp,jpeg,photo_sky.png,96,469797,89.53172897,,,,,1,1
sharp,jpeg,photo_sky.png,97,540440,89.78115987,,,,,1,1
sharp,jpeg,screenshot_text.png,40,252339,64.96746908,,,,,0,1
sharp,jpeg,screenshot_text.png,45,266826,66.60422988,,,,,0,1
sharp,jpeg,screenshot_text.png,50,279646,70.03953748,,,,,0,1
sharp,jpeg,screenshot_text.png,55,294149,70.91195494,,,,,0,1
sharp,jpeg,screenshot_text.png,60,311663,72.18730277,,,,,0,1
sharp,jpeg,screenshot_text.png,65,332825,70.27404077,,,,,0,1
sharp,jpeg,screenshot_text.png,70,356793,74.5718758,,,,,0,1
sharp,jpeg,screenshot_text.png,75,384070,73.16012111,,,,,0,1
sharp,jpeg,screenshot_text.png,80,425132,79.18597735,,,,,0,1
sharp,jpeg,screenshot_text.png,85,471741,82.71638064,,,,,0,1
sharp,jpeg,screenshot_text.png,90,542166,86.55984142,,,,,0,1
sharp,jpeg,screenshot_text.png,95,670367,91.06622398,,,,,0,1
sharp,jpeg,screenshot_text.png,100,984687,94.66206927,,,,,0,1
sharp,jpeg,screenshot_text.png,82,442208,80.36941788,,,,,1,1
sharp,jpeg,screenshot_text.png,81,433826,79.51903933,,,,,1,1
sharp,jpeg,screenshot_text.png,92,576750,87.97973453,,,,,1,1
sharp,jpeg,screenshot_text.png,94,636548,89.97009241,,,,,1,1
cwebp,webp,alpha_logo.png,40,5346,69.45632046,,,,,0,1
cwebp,webp,alpha_logo.png,45,5658,70.42524194,,,,,0,1
cwebp,webp,alpha_logo.png,50,5828,71.60917034,,,,,0,1
cwebp,webp,alpha_logo.png,55,5954,73.07134645,,,,,0,1
cwebp,webp,alpha_logo.png,60,6196,73.86591669,,,,,0,1
cwebp,webp,alpha_logo.png,65,6376,75.50939823,,,,,0,1
cwebp,webp,alpha_logo.png,70,6490,74.34839638,,,,,0,1
cwebp,webp,alpha_logo.png,75,6756,76.94613205,,,,,0,1
cwebp,webp,alpha_logo.png,80,7380,77.6420114,,,,,0,1
cwebp,webp,alpha_logo.png,85,8238,79.10562547,,,,,0,1
cwebp,webp,alpha_logo.png,90,9608,79.95806547,,,,,0,1
cwebp,webp,alpha_logo.png,95,11794,80.71949283,,,,,0,1
cwebp,webp,alpha_logo.png,100,15148,80.99607806,,,,,0,1
cwebp,webp,alpha_logo.png,92,10228,80.02858509,,,,,1,1
cwebp,webp,alpha_logo.png,91,9910,80.49856418,,,,,1,1
sharp,jpeg,screenshot_ui.png,40,50688,61.33458058,,,,,0,1
sharp,jpeg,screenshot_ui.png,45,54100,63.00186895,,,,,0,1
sharp,jpeg,screenshot_ui.png,50,56943,66.50113892,,,,,0,1
sharp,jpeg,screenshot_ui.png,55,59679,68.94420915,,,,,0,1
sharp,jpeg,screenshot_ui.png,60,62631,67.85735483,,,,,0,1
sharp,jpeg,screenshot_ui.png,65,66683,73.65503354,,,,,0,1
sharp,jpeg,screenshot_ui.png,70,71771,73.46837933,,,,,0,1
sharp,jpeg,screenshot_ui.png,75,77489,76.40209265,,,,,0,1
sharp,jpeg,screenshot_ui.png,80,85494,78.29058357,,,,,0,1
sharp,jpeg,screenshot_ui.png,85,96341,80.85021339,,,,,0,1
sharp,jpeg,screenshot_ui.png,90,114085,83.77569186,,,,,0,1
sharp,jpeg,screenshot_ui.png,95,147903,87.22364834,,,,,0,1
sharp,jpeg,screenshot_ui.png,100,239695,88.81904974,,,,,0,1
sharp,jpeg,screenshot_ui.png,82,89557,79.07250838,,,,,1,1
sharp,jpeg,screenshot_ui.png,84,94483,80.10405365,,,,,1,1
sharp,jpeg,screenshot_ui.png,83,92282,79.43182568,,,,,1,1
sharp,webp,photo_exif.jpg,40,327710,57.71528304,,,,,0,1
sharp,webp,photo_exif.jpg,45,353310,60.55843893,,,,,0,1
sharp,webp,photo_exif.jpg,50,379380,63.29533838,,,,,0,1
sharp,webp,photo_exif.jpg,55,403010,65.54241725,,,,,0,1
sharp,webp,photo_exif.jpg,60,421754,67.30881351,,,,,0,1
sharp,webp,photo_exif.jpg,65,451308,68.86679882,,,,,0,1
sharp,webp,photo_exif.jpg,70,480006,70.554223,,,,,0,1
sharp,webp,photo_exif.jpg,75,509982,72.38852771,,,,,0,1
sharp,webp,photo_exif.jpg,80,627938,78.41596807,,,,,0,1
sharp,webp,photo_exif.jpg,85,756532,82.62127564,,,,,0,1
sharp,webp,photo_exif.jpg,90,940432,86.02820249,,,,,0,1
sharp,webp,photo_exif.jpg,95,1254844,89.21080678,,,,,0,1
sharp,webp,photo_exif.jpg,100,1598618,90.44854555,,,,,0,1
sharp,webp,photo_exif.jpg,82,680244,80.30443732,,,,,1,1
sharp,webp,photo_exif.jpg,81,646188,79.02185805,,,,,1,1
sharp,webp,photo_exif.jpg,98,1474398,90.18288155,,,,,1,1
sharp,webp,photo_exif.jpg,96,1315646,89.59902609,,,,,1,1
sharp,webp,photo_exif.jpg,97,1406614,90.03538127,,,,,1,1
cwebp,webp,photo_foliage.png,40,39796,57.76301476,,,,,0,1
cwebp,webp,photo_foliage.png,45,43070,59.75669446,,,,,0,1
cwebp,webp,photo_foliage.png,50,46216,61.5288064,,,,,0,1
cwebp,webp,photo_foliage.png,55,49490,63.25361734,,,,,0,1
cwebp,webp,photo_foliage.png,60,52346,64.23700227,,,,,0,1
cwebp,webp,photo_foliage.png,65,55654,65.51832347,,,,,0,1
cwebp,webp,photo_foliage.png,70,58770,66.52455477,,,,,0,1
cwebp,webp,photo_foliage.png,75,63564,68.04284615,,,,,0,1
cwebp,webp,photo_foliage.png,80,78700,71.56961829,,,,,0,1
cwebp,webp,photo_foliage.png,85,100680,75.05808519,,,,,0,1
cwebp,webp,photo_foliage.png,90,147984,80.02726521,,,,,0,1
cwebp,webp,photo_foliage.png,95,252772,83.74026081,,,,,0,1
cwebp,webp,photo_foliage.png,100,430356,86.62783382,,,,,0,1
cwebp,webp,photo_foliage.png,88,124170,77.49982014,,,,,1,1
cwebp,webp,photo_foliage.png,89,131534,78.63108062,,,,,1,1
sharp,avif,screenshot_text.png,40,124588,82.86423197,,,,,0,1
sharp,avif,screenshot_text.png,45,142364,84.75227966,,,,,0,1
sharp,avif,screenshot_text.png,50,155723,86.67210541,,,,,0,1
sharp,avif,screenshot_text.png,55,171364,88.11742736,,,,,0,1
sharp,avif,screenshot_text.png,60,186553,89.26579697,,,,,0,1
sharp,avif,screenshot_text.png,65,201838,90.1582622,,,,,0,1
sharp,avif,screenshot_text.png,70,213231,91.24356506,,,,,0,1
sharp,avif,screenshot_text.png,75,227875,91.62566026,,,,,0,1
sharp,avif,screenshot_text.png,80,248210,92.12291425,,,,,0,1
sharp,avif,screenshot_text.png,85,282342,93.13085023,,,,,0,1
sharp,avif,screenshot_text.png,90,321429,93.99865193,,,,,0,1
sharp,avif,screenshot_text.png,95,390099,94.63636633,,,,,0,1
sharp,avif,screenshot_text.png,100,779344,95.51443081,,,,,0,1
sharp,avif,screenshot_text.png,62,193719,89.91773849,,,,,1,1
sharp,avif,screenshot_text.png,64,197295,89.92386083,,,,,1,1
cwebp,webp,photo_lowlight.png,40,144422,49.03089127,,,,,0,1
cwebp,webp,photo_lowlight.png,45,159346,52.00312055,,,,,0,1
cwebp,webp,photo_lowlight.png,50,168624,54.72740916,,,,,0,1
cwebp,webp,photo_lowlight.png,55,183274,57.02052731,,,,,0,1
cwebp,webp,photo_lowlight.png,60,194030,58.58022527,,,,,0,1
cwebp,webp,photo_lowlight.png,65,204644,60.85758959,,,,,0,1
cwebp,webp,photo_lowlight.png,70,220642,63.13667796,,,,,0,1
cwebp,webp,photo_lowlight.png,75,234204,64.4073837,,,,,0,1
cwebp,webp,photo_lowlight.png,80,290908,69.84251742,,,,,0,1
cwebp,webp,photo_lowlight.png,85,360360,75.17666216,,,,,0,1
cwebp,webp,photo_lowlight.png,90,472548,79.01794096,,,,,0,1
cwebp,webp,photo_lowlight.png,95,709950,82.79181375,,,,,0,1
cwebp,webp,photo_lowlight.png,100,955774,84.08209505,,,,,0,1
cwebp,webp,photo_lowlight.png,92,550944,81.06849271,,,,,1,1
cwebp,webp,photo_lowlight.png,91,514946,80.41556396,,,,,1,1
sharp,avif,screenshot_ui.png,40,16435,75.49661178,,,,,0,1
sharp,avif,screenshot_ui.png,45,18085,79.29456956,,,,,0,1
sharp,avif,screenshot_ui.png,50,19778,82.31107733,,,,,0,1
sharp,avif,screenshot_ui.png,55,22145,84.98429384,,,,,0,1
sharp,avif,screenshot_ui.png,60,24009,86.61035006,,,,,0,1
sharp,avif,screenshot_ui.png,65,26425,87.74990633,,,,,0,1
sharp,avif,screenshot_ui.png,70,28560,88.60062976,,,,,0,1
sharp,avif,screenshot_ui.png,75,31604,89.37939989,,,,,0,1
sharp,avif,screenshot_ui.png,80,35741,90.16030975,,,,,0,1
sharp,avif,screenshot_ui.png,85,43254,91.28971868,,,,,0,1
sharp,avif,screenshot_ui.png,90,52014,91.97504149,,,,,0,1
sharp,avif,screenshot_ui.png,95,67394,92.07730832,,,,,0,1
sharp,avif,screenshot_ui.png,100,138509,92.36178361,,,,,0,1
sharp,avif,screenshot_ui.png,48,19198,81.74431859,,,,,1,1
sharp,avif,screenshot_ui.png,46,18865,80.60663064,,,,,1,1
sharp,avif,screenshot_ui.png,78,34456,90.03554357,,,,,1,1
sharp,avif,screenshot_ui.png,76,33203,89.63148579,,,,,1,1
sharp,avif,screenshot_ui.png,77,34456,90.03554357,,,,,1,1
cwebp,webp,photo_sky.png,40,7856,65.35656511,,,,,0,1
cwebp,webp,photo_sky.png,45,8042,66.02264664,,,,,0,1
cwebp,webp,photo_sky.png,50,8424,66.13432747,,,,,0,1
cwebp,webp,photo_sky.png,55,8690,66.39365832,,,,,0,1
cwebp,webp,photo_sky.png,60,9166,66.86430814,,,,,0,1
cwebp,webp,photo_sky.png,65,10146,67.41436613,,,,,0,1
cwebp,webp,photo_sky.png,70,11186,67.92183379,,,,,0,1
cwebp,webp,photo_sky.png,75,12364,68.23153566,,,,,0,1
cwebp,webp,photo_sky.png,80,21954,71.25825582,,,,,0,1
cwebp,webp,photo_sky.png,85,38782,74.28115269,,,,,0,1
cwebp,webp,photo_sky.png,90,79160,78.72330401,,,,,0,1
cwebp,webp,photo_sky.png,95,186696,83.59476335,,,,,0,1
cwebp,webp,photo_sky.png,100,362138,87.17445105,,,,,0,1
cwebp,webp,photo_sky.png,92,105092,80.73630682,,,,,1,1
cwebp,webp,photo_sky.png,91,97580,80.29320031,,,,,1,1
cwebp,webp,screenshot_text.png,40,169810,78.12499171,,,,,0,1
cwebp,webp,screenshot_text.png,45,178244,79.10670229,,,,,0,1
cwebp,webp,screenshot_text.png,50,183582,79.76837147,,,,,0,1
cwebp,webp,screenshot_text.png,55,188192,80.61478255,,,,,0,1
cwebp,webp,screenshot_text.png,60,195168,81.43724102,,,,,0,1
cwebp,webp,screenshot_text.png,65,200964,82.2582831,,,,,0,1
cwebp,webp,screenshot_text.png,70,205740,82.75677202,,,,,0,1
cwebp,webp,screenshot_text.png,75,214806,83.49942331,,,,,0,1
cwebp,webp,screenshot_text.png,80,237644,85.29493093,,,,,0,1
cwebp,webp,screenshot_text.png,85,262498,86.35298727,,,,,0,1
cwebp,webp,screenshot_text.png,90,304624,88.19124915,,,,,0,1
cwebp,webp,screenshot_text.png,95,374384,89.10736963,,,,,0,1
cwebp,webp,screenshot_text.png,100,459214,89.62632991,,,,,0,1
cwebp,webp,screenshot_text.png,52,185586,80.10533876,,,,,1,1
cwebp,webp,screenshot_text.png,51,185518,80.16817734,,,,,1,1
cwebp,webp,screenshot_ui.png,40,28520,70.33652214,,,,,0,1
cwebp,webp,screenshot_ui.png,45,30556,70.2849936,,,,,0,1
cwebp,webp,screenshot_ui.png,50,31188,73.77256424,,,,,0,1
cwebp,webp,screenshot_ui.png,55,32442,74.87891686,,,,,0,1
cwebp,webp,screenshot_ui.png,60,33602,76.15190554,,,,,0,1
